large0.379694
large0.378655
large0.381755
large0.384210
large0.306492
large0.314421
large0.310135
large0.305354
large0.310717
large0.311183
large0.320436
large0.301858
large0.311105
large0.302993
large0.310332
large0.302764
large0.313947
large0.303118
large0.304529
large0.314564
large0.306293
large0.310978
large0.394907
large0.415434
large0.392459
large0.392458
large0.408776
large0.398304
large0.218038
large0.210388
large0.210789
large0.206707
large0.205603
large0.212545
large0.207817
large0.207818
large0.204675
large0.205759
large0.211608
large0.206845
large0.208388
large0.211938
large0.210890
large0.218087
large0.209600
large0.206759
large0.208798
large0.213107
large0.210722
large0.208734
large0.211611
large0.209054
large0.210008
large0.225059
large0.208608
large0.210298
large0.208582
large0.209050
large0.207866
large0.208605
large0.212195
large0.215204
large0.212555
large0.211980
large0.211493
large0.209547
large0.214424
large0.215291
large0.234583
large0.234534
large0.238620
large0.236158
large0.237032
large0.232988
large0.234973
large0.246707
large0.240522
large0.229500
large0.239888
large0.238243
large0.248996
large0.234842
large0.235720
large0.236913
large0.241621
large0.237425
large0.239697
large0.233678
large0.241593
large0.229811
large0.244492
large0.235199
large0.236705
large0.233553
large0.232242
large0.234101
large0.232061
large0.236329
large0.230048
large0.239636
large0.232924
large0.237445
large0.231187
large0.236770
large0.234668
large0.246098
large0.232295
large0.238051
large0.231781
large0.232344
large0.235110
large0.242480
large0.232935
large0.229000
large0.237379
large0.238881
large0.239489
large0.232323
large0.241009
large0.232323
large0.240928
large0.235960
large0.235446
large0.240312
large0.232666
large0.240787
large0.235432
large0.235753
large0.234928
large0.234798
large0.250102
large0.236136
large0.233048
large0.241498
large0.237090
large0.234952
large0.233895
large0.233985
large0.235644
large0.239982
large0.235669
large0.236014
large0.242881
large0.236618
large0.235764
large0.276343
large0.276024
large0.270963
large0.284265
large0.275216
large0.277449
large0.272274
large0.275062
large0.273471
large0.275571
large0.278216
large0.284357
large0.275775
large0.275870
large0.272612
large0.287629
large0.293752
large0.295443
large0.288288
large0.285522
large0.284829
large0.296283
large0.288194
large0.285183
large0.283996
large0.285290
large0.283142
large0.281668
large0.288562
large0.289089
large0.281829
large0.292829
large0.283417
large0.284587
large0.285211
large0.288081
large0.292435
large0.283082
large0.284019
large0.282013
large0.290099
large0.287570
large0.295321
large0.284633
large0.288565
large0.288926
large0.291664
large0.283124
large0.288694
large0.284154
large0.283700
large0.287536
large0.285996
large0.287583
large0.288056
large0.288770
large0.290857
large0.288109
large0.285228
large0.292696
large0.294713
large0.298541
large0.306042
