0.545594
0.607782
0.587208
0.623153
0.614744
0.609718
0.638352
0.604233
0.613857
0.554224
0.534075
0.53375
0.54831
0.546867
0.497969
0.406852
0.443078
0.441746
0.445767
0.4448
0.445661
0.431747
0.446711
0.446701
0.447706
0.447754
0.446791
0.42962
0.431646
0.446894
0.430666
0.4456
0.446887
0.430237
0.447258
0.441298
1.337874
1.333533
1.324987
1.321093
1.319898
1.323461
1.340371
1.320856
1.336124
1.329389
1.328875
1.316552
1.316467
1.32195
1.325327
1.320085
1.321434
1.322007
1.326675
1.340421
1.347504
1.338065
1.333144
1.328067
1.338044
1.356547
1.33943
1.350716
1.339233
1.362866
1.392504
1.359368
1.373804
1.367653
1.364769
1.369198
1.359517
1.369767
1.371073
1.37232
1.37157
1.376443
1.362956
1.365722
1.370593
1.378605
1.368618
1.36765
1.366174
1.368656
1.382214
1.371585
1.368857
1.369468
1.357482
1.357629
1.359507
1.361694
1.373927
1.371683
1.362512
1.359548
1.362756
1.360114
1.372529
1.373657
1.356003
1.363698
1.391672
1.393802
1.367053
medium1.897365
medium1.881628
medium1.902391
medium1.896586
medium1.915042
medium1.907714
medium1.916739
medium1.909347
medium1.902754
medium1.905237
medium1.905931
medium1.933932
medium1.896547
medium1.903179
medium1.900669
medium1.914272
medium1.897758
medium1.908680
medium1.905882
medium1.912969
medium1.918110
medium1.907403
medium1.908500
medium1.901767
medium1.899758
medium1.915461
medium1.922176
medium1.909403
medium1.909399
medium1.918843
medium1.927382
medium1.900725
medium1.909581
medium1.919201
medium2.121878
medium2.631966
medium2.689344
medium2.679080
medium2.677971
medium2.683021
medium2.722618
medium2.724683
medium2.682581
medium0.115164
medium0.109704
medium0.111514
medium0.109187
medium0.113209
medium0.109085
medium0.113520
medium0.110409
medium0.109108
medium0.114896
medium0.123747
medium0.110895
medium0.109970
medium0.112189
medium0.108779
medium0.110335
medium0.112362
medium0.111780
medium0.112678
medium0.127163
medium0.117616
medium0.113846
medium0.130837
medium0.112039
medium0.122906
medium0.117082
medium0.114488
medium0.116590
medium0.124651
medium0.115920
